Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Indonesia,IDN,2019,Adequacy of benefits in extreme poor (<$1.9 a day) (%) -All Social Protection and Labor  (preT),per_allsp.adq_ep_preT_tot,18.9231052398682
Indonesia,IDN,2018,Adequacy of benefits in extreme poor (<$1.9 a day) (%) -All Social Protection and Labor  (preT),per_allsp.adq_ep_preT_tot,9.27181625366211
Indonesia,IDN,2017,Adequacy of benefits in extreme poor (<$1.9 a day) (%) -All Social Protection and Labor  (preT),per_allsp.adq_ep_preT_tot,6.86113262176514
Indonesia,IDN,2015,Adequacy of benefits in extreme poor (<$1.9 a day) (%) -All Social Protection and Labor  (preT),per_allsp.adq_ep_preT_tot,32.1727409362793
Indonesia,IDN,2019,Adequacy of benefits in extreme poor (<$1.9 a day) (%) -All Social Protection and Labor,per_allsp.adq_ep_tot,10.4631490707397
Indonesia,IDN,2018,Adequacy of benefits in extreme poor (<$1.9 a day) (%) -All Social Protection and Labor,per_allsp.adq_ep_tot,8.22036075592041
Indonesia,IDN,2017,Adequacy of benefits in extreme poor (<$1.9 a day) (%) -All Social Protection and Labor,per_allsp.adq_ep_tot,6.37779092788696
Indonesia,IDN,2015,Adequacy of benefits in extreme poor (<$1.9 a day) (%) -All Social Protection and Labor,per_allsp.adq_ep_tot,32.2783355712891
Indonesia,IDN,2019,Adequacy of benefits (%) -All Social Protection and Labor (preT),per_allsp.adq_pop_preT_tot,4.27413988113403
Indonesia,IDN,2018,Adequacy of benefits (%) -All Social Protection and Labor (preT),per_allsp.adq_pop_preT_tot,3.51800751686096
Indonesia,IDN,2017,Adequacy of benefits (%) -All Social Protection and Labor (preT),per_allsp.adq_pop_preT_tot,3.16716980934143
Indonesia,IDN,2015,Adequacy of benefits (%) -All Social Protection and Labor (preT),per_allsp.adq_pop_preT_tot,15.9433135986328
Indonesia,IDN,2019,Adequacy of benefits (%) -All Social Protection and Labor -rural,per_allsp.adq_pop_rur,4.28771352767944
Indonesia,IDN,2018,Adequacy of benefits (%) -All Social Protection and Labor -rural,per_allsp.adq_pop_rur,3.66604375839233
Indonesia,IDN,2017,Adequacy of benefits (%) -All Social Protection and Labor -rural,per_allsp.adq_pop_rur,3.24581265449524
Indonesia,IDN,2015,Adequacy of benefits (%) -All Social Protection and Labor -rural,per_allsp.adq_pop_rur,17.0458393096924
Indonesia,IDN,2011,Adequacy of benefits (%) -All Social Protection and Labor -rural,per_allsp.adq_pop_rur,13.8868188858032
Indonesia,IDN,2019,Adequacy of benefits (%) -All Social Protection and Labor -urban,per_allsp.adq_pop_urb,4.25695085525513
Indonesia,IDN,2018,Adequacy of benefits (%) -All Social Protection and Labor -urban,per_allsp.adq_pop_urb,3.30867958068848
Indonesia,IDN,2017,Adequacy of benefits (%) -All Social Protection and Labor -urban,per_allsp.adq_pop_urb,3.06768393516541
Indonesia,IDN,2015,Adequacy of benefits (%) -All Social Protection and Labor -urban,per_allsp.adq_pop_urb,14.1949605941772
Indonesia,IDN,2019,Adequacy of benefits in 1st quintile (poorest) (%) -All Social Protection and Labor (preT),per_allsp.adq_q1_preT_tot,8.22271919250488
Indonesia,IDN,2018,Adequacy of benefits in 1st quintile (poorest) (%) -All Social Protection and Labor (preT),per_allsp.adq_q1_preT_tot,6.29755544662476
Indonesia,IDN,2017,Adequacy of benefits in 1st quintile (poorest) (%) -All Social Protection and Labor (preT),per_allsp.adq_q1_preT_tot,5.57943630218506
Indonesia,IDN,2015,Adequacy of benefits in 1st quintile (poorest) (%) -All Social Protection and Labor (preT),per_allsp.adq_q1_preT_tot,28.5040550231934
Indonesia,IDN,2019,Adequacy of benefits in 1st quintile (poorest) (%) -All Social Protection and Labor -rural,per_allsp.adq_q1_rur,7.80777597427368
Indonesia,IDN,2018,Adequacy of benefits in 1st quintile (poorest) (%) -All Social Protection and Labor -rural,per_allsp.adq_q1_rur,6.75164413452148
Indonesia,IDN,2017,Adequacy of benefits in 1st quintile (poorest) (%) -All Social Protection and Labor -rural,per_allsp.adq_q1_rur,5.80296468734741
Indonesia,IDN,2015,Adequacy of benefits in 1st quintile (poorest) (%) -All Social Protection and Labor -rural,per_allsp.adq_q1_rur,29.5404262542725
Indonesia,IDN,2011,Adequacy of benefits in 1st quintile (poorest) (%) -All Social Protection and Labor -rural,per_allsp.adq_q1_rur,75.2289886474609
Indonesia,IDN,2019,Adequacy of benefits in 1st quintile (poorest) (%) -All Social Protection and Labor,per_allsp.adq_q1_tot,6.9712119102478
Indonesia,IDN,2018,Adequacy of benefits in 1st quintile (poorest) (%) -All Social Protection and Labor,per_allsp.adq_q1_tot,6.10299205780029
Indonesia,IDN,2017,Adequacy of benefits in 1st quintile (poorest) (%) -All Social Protection and Labor,per_allsp.adq_q1_tot,5.46965932846069
Indonesia,IDN,2015,Adequacy of benefits in 1st quintile (poorest) (%) -All Social Protection and Labor,per_allsp.adq_q1_tot,27.3208770751953
Indonesia,IDN,2019,Adequacy of benefits in 1st quintile (poorest) (%) -All Social Protection and Labor -urban,per_allsp.adq_q1_urb,6.33345413208008
Indonesia,IDN,2018,Adequacy of benefits in 1st quintile (poorest) (%) -All Social Protection and Labor -urban,per_allsp.adq_q1_urb,5.48703479766846
Indonesia,IDN,2017,Adequacy of benefits in 1st quintile (poorest) (%) -All Social Protection and Labor -urban,per_allsp.adq_q1_urb,5.11642837524414
